artist|rank|src|title
Swans|4|metacritic_ye2014|To Be Kind
Pallbearer|5|metacritic_ye2014|Foundations of Burden
Flying Lotus|6|metacritic_ye2014|You're Dead
Rosanne Cash|7|metacritic_ye2014|The River & The Thread
Perfume Genius|8|metacritic_ye2014|Too Bright
Sharon Van Etten|9|metacritic_ye2014|Are We There
Aphex Twin|10|metacritic_ye2014|Syro
FKA twigs|11|metacritic_ye2014|LP1
Wild Beasts|12|metacritic_ye2014|Present Tense
Leonard Cohen|13|metacritic_ye2014|Popular Problems
The War on Drugs|14|metacritic_ye2014|Lost in the Dream
Steve Gunn|15|metacritic_ye2014|Way Out Weather
Sun Kil Moon|16|metacritic_ye2014|Benji
Angel Olsen|17|metacritic_ye2014|Burn Your Fire for No Witness
Ex Hex|18|metacritic_ye2014|Rips
Caribou|19|metacritic_ye2014|Our Love
Ben Frost|20|metacritic_ye2014|A U R O R A
Strand of Oaks|21|metacritic_ye2014|Heal
The Bug|22|metacritic_ye2014|Angels & Devils
Marissa Nadler|23|metacritic_ye2014|July
Andy Stott|24|metacritic_ye2014|Faith in Strangers
Lucinda Williams|25|metacritic_ye2014|Down Where the Spirit Meets the Bone
Protomartyr|26|metacritic_ye2014|Under Color of Official Right 
tUnE-yArDs|27|metacritic_ye2014|Nikki Nack
Scott Walker and Sunn 0)))|28|metacritic_ye2014|Soused
Fear of Men|29|metacritic_ye2014|Loom
Manic Street Preachers|30|metacritic_ye2014|Futurology
Against Me!|31|metacritic_ye2014|Transgender Dysphoria Blues
The Soft Pink Truth|32|metacritic_ye2014|Why Do the Heathen Rage?
Reigning Sound|33|metacritic_ye2014|Shattered
Owen Pallett|34|metacritic_ye2014|In Conflict
Future Islands|35|metacritic_ye2014|Singles
Mac DeMarco|36|metacritic_ye2014|Salad Days
These New Puritans|37|metacritic_ye2014|Field of Reeds
Vashti Bunyan|38|metacritic_ye2014|Heartleap
Freddie Gibbs and Madlib|39|metacritic_ye2014|Piñata
The Antlers|40|metacritic_ye2014|Familiars
Kendrick Lamar|1|metacritic_ye2015|To Pimp a Butterfly 
Sufjan Stevens|2|metacritic_ye2015|Carrie & Lowell 
Sleater-Kinney|3|metacritic_ye2015|No Cities to Love 
Napalm Death|4|metacritic_ye2015|Apex Predator - Easy Meat 
Joanna Newsom|5|metacritic_ye2015|Divers
Courtney Barnett|6|metacritic_ye2015|Sometimes I Sit And Think, And Sometimes I Just Sit 
Grimes|7|metacritic_ye2015|Art Angels
Julia Holter|8|metacritic_ye2015|Have You in My Wilderness 
Vince Staples|9|metacritic_ye2015|Summertime '06 
Jason Isbell|10|metacritic_ye2015|Something More Than Free
Bjork|11|metacritic_ye2015|Vulnicura
Father John Misty|12|metacritic_ye2015|I Love You, Honeybear
Jamie xx|13|metacritic_ye2015|In Colour
Natalie Prass|14|metacritic_ye2015|Natalie Prass
Donnie Trumpet & The Social Experiment|15|metacritic_ye2015|Surf
Destroyer|16|metacritic_ye2015|Poison Season
Protomartyr|17|metacritic_ye2015|The Agent Intellect
Floating Points|18|metacritic_ye2015|Elaenia
Deafheaven|19|metacritic_ye2015|New Bermuda
Lightning Bolt|20|metacritic_ye2015|Fantasy Empire 
Miguel|21|metacritic_ye2015|Wildheart
Tame Impala|22|metacritic_ye2015|Currents
Godspeed You! Black Emperor|23|metacritic_ye2015|Asunder, Sweet and Other Distress
Baroness|24|metacritic_ye2015|Purple
Speedy Ortiz|25|metacritic_ye2015|Foil Deer
Young Fathers|26|metacritic_ye2015|White Men Are Black Men Too
Wilco|27|metacritic_ye2015|Star Wars 
Ryley Walker|28|metacritic_ye2015|Primrose Green
Kurt Vile|29|metacritic_ye2015|b'lieve i'm goin' down...
Panda Bear|30|metacritic_ye2015|Panda Bear Meets the Grim Reaper
Prurient|31|metacritic_ye2015|Frozen Niagara Falls
Bob Dylan|32|metacritic_ye2015|Shadows in the Night
Dr. Dre|33|metacritic_ye2015|Compton
John Grant|34|metacritic_ye2015|Grey Tickles, Black Pressure
Mount Eerie|35|metacritic_ye2015|Sauna
Deerhunter|36|metacritic_ye2015|Fading Frontier
Colin Stetson and Sarah Neufeld|37|metacritic_ye2015|Never Were the Way She Was 
Waxahatchee|38|metacritic_ye2015|Ivy Tripp
Lady Lamb the Beekeeper|39|metacritic_ye2015|After
Holly Herndon|40|metacritic_ye2015|Platform
Nick Cave & The Bad Seeds|1|metacritic_ye2016|Skeleton Tree
Beyonce|2|metacritic_ye2016|Lemonade
Leonard Cohen|3|metacritic_ye2016|You Want It Darker
A Tribe Called Quest|4|metacritic_ye2016|We Got It From Here...Thank You 4 Your Service
Chance the Rapper|5|metacritic_ye2016|Coloring Book
Solange|6|metacritic_ye2016|A Seat at the Table
Drive-By Truckers|7|metacritic_ye2016|American Band
Radiohead|8|metacritic_ye2016|A Moon Shaped Pool
David Bowie|9|metacritic_ye2016|Blackstar
Angel Olsen|10|metacritic_ye2016|My Woman
Frank Ocean|11|metacritic_ye2016|Blonde
Mitski|12|metacritic_ye2016|Puberty 2
Bon Iver|13|metacritic_ye2016|22, A Million
Sturgill Simpson|14|metacritic_ye2016|A Sailor's Guide to Earth
Michael Kiwanuka|15|metacritic_ye2016|Love & Hate
Maxwell|16|metacritic_ye2016|blackSUMMERS'night
