album|album_id|artist|artist_id|duration_ms|name|popularity|preview_url|track_id|track_number|type
The Massacre|2pidzXTaHV4WaIJYRxKDCH|50 Cent|3q7HBObVc0L8jNeTe5Gofh|257773|A Baltimore Love Thing|44|https://p.scdn.co/mp3-preview/fa8c29be35cd88111581f1830f6593611ae16c54?cid=8ab10b4296bd4266b959f2caee8dd7a4|1Fj7CtYdzMggpfN7pU751s|11|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|50 Cent|3q7HBObVc0L8jNeTe5Gofh|231586|Ryder Music|47|https://p.scdn.co/mp3-preview/bcc0384143f0c046f649b7275185e6459baf831d?cid=8ab10b4296bd4266b959f2caee8dd7a4|2UPiF4dyPTBKJYrvekbbis|12|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|50 Cent|3q7HBObVc0L8jNeTe5Gofh|214226|Disco Inferno|67|https://p.scdn.co/mp3-preview/bace01e4e6875bdbc83d891dcb91913a8f7fd9c3?cid=8ab10b4296bd4266b959f2caee8dd7a4|69bHJ9qs5FrUJbKP8xU8uZ|13|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|50 Cent|3q7HBObVc0L8jNeTe5Gofh|237706|Just A Lil Bit|73|https://p.scdn.co/mp3-preview/c9d4a4825185fbb9c697322d82601b4ca8906064?cid=8ab10b4296bd4266b959f2caee8dd7a4|4nva9EpKntUTs6CRSGBCn9|14|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|50 Cent|3q7HBObVc0L8jNeTe5Gofh|264560|Gunz Come Out|48|https://p.scdn.co/mp3-preview/535dadfe31877ed521c360ff05646b354fd92681?cid=8ab10b4296bd4266b959f2caee8dd7a4|3iAqQ5F0syAZz1cPGJUeMW|15|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|"50 Cent|Tony Yayo"|"3q7HBObVc0L8jNeTe5Gofh|50UMTib697JJ44le8DO2Va"|224373|My Toy Soldier|46|https://p.scdn.co/mp3-preview/8d0c50282bd79aa7b29c44d223f76cc6ef465130?cid=8ab10b4296bd4266b959f2caee8dd7a4|2JPfvvwIYz49JHZhUl87YU|16|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|50 Cent|3q7HBObVc0L8jNeTe5Gofh|192293|Position Of Power|48|https://p.scdn.co/mp3-preview/17048d6450e0d1d12254eab127f9e5c1480ae36f?cid=8ab10b4296bd4266b959f2caee8dd7a4|52wETCk0o87LhIGFdngdQL|17|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|"50 Cent|Jamie Foxx"|"3q7HBObVc0L8jNeTe5Gofh|7LnaAXbDVIL75IVPnndf7w"|175666|Build You Up|44|https://p.scdn.co/mp3-preview/a7bd95ef8a9d6c680a99ccfc35bc29030e80a2e7?cid=8ab10b4296bd4266b959f2caee8dd7a4|4hXMVtFRjxOQrAnkCqsO1c|18|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|50 Cent|3q7HBObVc0L8jNeTe5Gofh|181720|God Gave Me Style|46|https://p.scdn.co/mp3-preview/e8d447fbaa86b006c5ad25bcc0c6f4eceee58a9b?cid=8ab10b4296bd4266b959f2caee8dd7a4|5NoB3TXQDvVClLnC1lXdPt|19|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|"50 Cent|Olivia"|"3q7HBObVc0L8jNeTe5Gofh|5YBSzuCs7WaFKNr7Bky0Uf"|196506|So Amazing|45|https://p.scdn.co/mp3-preview/96d58e64dfec16a84510b21c19710a1f67e623b2?cid=8ab10b4296bd4266b959f2caee8dd7a4|6NvtFmyLeyMA8S7xzuIVDz|20|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|50 Cent|3q7HBObVc0L8jNeTe5Gofh|200773|I Don't Need 'Em|43|https://p.scdn.co/mp3-preview/91c4ee17dc79602b50732186a264fb3bc7f56bf7?cid=8ab10b4296bd4266b959f2caee8dd7a4|4cY7sokPEdKNQHOleTnECM|21|track
The Massacre|2pidzXTaHV4WaIJYRxKDCH|"50 Cent|The Game|Tony Yayo|Young Buck|Lloyd Banks"|"3q7HBObVc0L8jNeTe5Gofh|0NbfKEOTQCcwd6o7wSDOHI|50UMTib697JJ44le8DO2Va|4pr7J7wzgObkE3DD3Izi7q|3vDUJHQtqT3jFRZ2ECXDTi"|263786|Hate It Or Love It - G-Unit Remix|57|https://p.scdn.co/mp3-preview/ec69444d7b9b1dc10daf3ff26255a9d78d025373?cid=8ab10b4296bd4266b959f2caee8dd7a4|6TYPoBrn53njY2C0WwdmA1|22|track
We got it from Here... Thank You 4 Your service|3WvQpufOsPzkZvcSuynCf3|A Tribe Called Quest|09hVIj6vWgoCDtT03h8ZCa|341040|The Space Program|51|https://p.scdn.co/mp3-preview/1d89cf2c6a86318a54a9c5a2045057041ec19ef5?cid=8ab10b4296bd4266b959f2caee8dd7a4|203xmWRHAyqwW6AkGkhhVM|1|track
We got it from Here... Thank You 4 Your service|3WvQpufOsPzkZvcSuynCf3|A Tribe Called Quest|09hVIj6vWgoCDtT03h8ZCa|172013|We The People....|57|https://p.scdn.co/mp3-preview/33d620e9e6fc1896f1c8bd6292b325f05030aad1?cid=8ab10b4296bd4266b959f2caee8dd7a4|3wUX7HpXS382s1DHTRouVk|2|track
We got it from Here... Thank You 4 Your service|3WvQpufOsPzkZvcSuynCf3|A Tribe Called Quest|09hVIj6vWgoCDtT03h8ZCa|172760|Whateva Will Be|51|https://p.scdn.co/mp3-preview/371c54f2ef2fbf257aaac57dc7dd590860a8b815?cid=8ab10b4296bd4266b959f2caee8dd7a4|3z40poMPmOkS6799tbXGKz|3|track
We got it from Here... Thank You 4 Your service|3WvQpufOsPzkZvcSuynCf3|A Tribe Called Quest|09hVIj6vWgoCDtT03h8ZCa|223346|Solid Wall of Sound|48|https://p.scdn.co/mp3-preview/ccce28faaf46d7f9afb6e23d9174592f8cee5ad4?cid=8ab10b4296bd4266b959f2caee8dd7a4|5OzOQRssjhxaBj0xd78Z2w|4|track
We got it from Here... Thank You 4 Your service|3WvQpufOsPzkZvcSuynCf3|A Tribe Called Quest|09hVIj6vWgoCDtT03h8ZCa|213373|Dis Generation|50|https://p.scdn.co/mp3-preview/9a3db73fb0ce1bd568ea66c39cecfc1abde55f92?cid=8ab10b4296bd4266b959f2caee8dd7a4|2Pp3QD3thPnk2kCxmu2MHK|5|track
We got it from Here... Thank You 4 Your service|3WvQpufOsPzkZvcSuynCf3|A Tribe Called Quest|09hVIj6vWgoCDtT03h8ZCa|228480|Kids...|44|https://p.scdn.co/mp3-preview/06e7d8b784d8da8b9c5933213943efb062b0adea?cid=8ab10b4296bd4266b959f2caee8dd7a4|3awU4bBZTmisGbeJJ4xb3c|6|track
We got it from Here... Thank You 4 Your service|3WvQpufOsPzkZvcSuynCf3|A Tribe Called Quest|09hVIj6vWgoCDtT03h8ZCa|284693|Melatonin|48|https://p.scdn.co/mp3-preview/486c3ea3bdda791877d4d305a670ef3a6e6587d8?cid=8ab10b4296bd4266b959f2caee8dd7a4|366xKgsZ8bFjIhG7JjfCkj|7|track
We got it from Here... Thank You 4 Your service|3WvQpufOsPzkZvcSuynCf3|A Tribe Called Quest|09hVIj6vWgoCDtT03h8ZCa|200693|Enough!!|48|https://p.scdn.co/mp3-preview/e36b57f70b491ef7f819d479996b2a583f4769e9?cid=8ab10b4296bd4266b959f2caee8dd7a4|1WvGWCDuj0dfRpuBuYecXp|8|track
We got it from Here... Thank You 4 Your service|3WvQpufOsPzkZvcSuynCf3|A Tribe Called Quest|09hVIj6vWgoCDtT03h8ZCa|171706|Mobius|43|https://p.scdn.co/mp3-preview/bbd96d36c5c8aaa6936b7b7cad3f142d578932ce?cid=8ab10b4296bd4266b959f2caee8dd7a4|0Zo2Sc9OLyAql82M85GI4J|1|track
We got it from Here... Thank You 4 Your service|3WvQpufOsPzkZvcSuynCf3|A Tribe Called Quest|09hVIj6vWgoCDtT03h8ZCa|183586|Black Spasmodic|45|https://p.scdn.co/mp3-preview/fbff28be66f1c9c50018b1dc3e718932fc84b3d0?cid=8ab10b4296bd4266b959f2caee8dd7a4|1qju0WsEHiDZoOBBDp8aAk|2|track
We got it from Here... Thank You 4 Your service|3WvQpufOsPzkZvcSuynCf3|A Tribe Called Quest|09hVIj6vWgoCDtT03h8ZCa|163933|The Killing Season|41|https://p.scdn.co/mp3-preview/d86a4087f1b4d102ca9825a38a3c7d10b314e650?cid=8ab10b4296bd4266b959f2caee8dd7a4|0ztZ65BrWKvcPuQPR6LTZw|3|track
We got it from Here... Thank You 4 Your service|3WvQpufOsPzkZvcSuynCf3|A Tribe Called Quest|09hVIj6vWgoCDtT03h8ZCa|259026|Lost Somebody|41|https://p.scdn.co/mp3-preview/2a115fb4b5eb2cf16fe13e9a90b4a8d616514a77?cid=8ab10b4296bd4266b959f2caee8dd7a4|2J8MwNEqmnhwbVQoqG7tnh|4|track
We got it from Here... Thank You 4 Your service|3WvQpufOsPzkZvcSuynCf3|A Tribe Called Quest|09hVIj6vWgoCDtT03h8ZCa|281613|Movin Backwards|44|https://p.scdn.co/mp3-preview/4d63d9cf4dba6f709a7fe0666634ffdfdfbde1c7?cid=8ab10b4296bd4266b959f2caee8dd7a4|4Ek1h5KnIkB6Pi2Bt1lV8m|5|track
We got it from Here... Thank You 4 Your service|3WvQpufOsPzkZvcSuynCf3|A Tribe Called Quest|09hVIj6vWgoCDtT03h8ZCa|211986|Conrad Tokyo|46|https://p.scdn.co/mp3-preview/eed12d3467ac445899d6a7b02d7c54477f3e06ac?cid=8ab10b4296bd4266b959f2caee8dd7a4|3MDcFMG1AYBPcRpYOdwDYl|6|track
We got it from Here... Thank You 4 Your service|3WvQpufOsPzkZvcSuynCf3|A Tribe Called Quest|09hVIj6vWgoCDtT03h8ZCa|197440|Ego|44|https://p.scdn.co/mp3-preview/1db9227746ab4cfbe00f6cd20bdfc1df840d44b0?cid=8ab10b4296bd4266b959f2caee8dd7a4|51Ru43YjHNP2uLcPoswSu4|7|track
We got it from Here... Thank You 4 Your service|3WvQpufOsPzkZvcSuynCf3|A Tribe Called Quest|09hVIj6vWgoCDtT03h8ZCa|322233|The Donald|41|https://p.scdn.co/mp3-preview/c9004dcbccd6c87763158b302dcf3ebd3d5dff49?cid=8ab10b4296bd4266b959f2caee8dd7a4|0BXZq7Np5y2kWNyH6zbrAc|8|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|183269|Ghost Of Guy Clark|38|https://p.scdn.co/mp3-preview/af1b3007f1a45a01a0d49c1746f43700d2d7925e?cid=8ab10b4296bd4266b959f2caee8dd7a4|3HeOMsMBdhFXeL2o7cbKB8|1|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|86026|El Comienzo del Viaje|38|https://p.scdn.co/mp3-preview/73c86ec64a53f71352a73f6f5c0f554d6639149d?cid=8ab10b4296bd4266b959f2caee8dd7a4|4AWeZJzUyhANuYPBgpYKzH|2|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|200554|Dark Horse|39|https://p.scdn.co/mp3-preview/2f8585c3280c45a5b6f2f75707689ab90f27dafc?cid=8ab10b4296bd4266b959f2caee8dd7a4|4F9Nu7669N0tQ5nmW9sey3|3|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|231196|Heartstrings|38|https://p.scdn.co/mp3-preview/343074ca0aa996456fa682e0d30bfb8f09540b9c?cid=8ab10b4296bd4266b959f2caee8dd7a4|1AcJ0Ri27iqh2rHtP1LGJ4|4|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|216580|Old Friend|39|https://p.scdn.co/mp3-preview/19e7d3828ff240ae625db3e44aa78dd813869723?cid=8ab10b4296bd4266b959f2caee8dd7a4|0Q46Z6ERkpqMqIUU6gOc5z|5|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|198933|Kiss That Girl Goodbye|52|https://p.scdn.co/mp3-preview/a1510b33466fd3a81a96a1cf87ca97289971f450?cid=8ab10b4296bd4266b959f2caee8dd7a4|4cjYbmZXoJbuLeOwLP4EKB|6|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|279916|Country Radio|37|https://p.scdn.co/mp3-preview/8b0e9778264c87a0c6e0b907882c6b2bf58ffa47?cid=8ab10b4296bd4266b959f2caee8dd7a4|7dt0yYV37WRw8Gq2zg5FwZ|7|track
Red Bandana|0WMC1R1SgwLSLwiklZGIhI|Aaron Watson|5BKzvAPtNXnt0LwzGvKOH3|264801|Legends|36|https://p.scdn.co/mp3-preview/3a5b19362dc3709d3d410c744608933f3c0def2e?cid=8ab10b4296bd4266b959f2caee8dd7a4|1jsbWoyK6Xb3TN7nfFBb1Z|8|track
