query_artist,query_title,id,name,artist,artist_id,n_artists,type,release_date,total_tracks,popularity
112,Pleasure & Pain,3gY1qUrGzKNQnorPC9Lu72,Pleasure & Pain,112,7urq0VfqxEYEEiZUkebXT4,1,album,2005-01-01,17,49
112,Pleasure & Pain,4lHxQVzQyXkXeARieL08Uw,Pleasure & Pain,112,7urq0VfqxEYEEiZUkebXT4,1,album,2005-01-01,18,26
112,Pleasure & Pain,4RKYwxgwduUaVbKlSxLX8I,Pleasure & Pain,112,7urq0VfqxEYEEiZUkebXT4,1,album,2005-01-01,17,15
112,Pleasure & Pain,4vUb31l8YjX6UStPf75Q0K,Pleasure & Pain,112,7urq0VfqxEYEEiZUkebXT4,1,album,2005-01-01,18,1
2 Chainz,B.O.A.T.S. II #METIME,3m0MH2qRupmo8waQOwXkrV,B.O.A.T.S. II #METIME (Deluxe),2 Chainz,17lzZA2AlOHwCwFALHttmp,1,album,2013-01-01,17,50
2 Chainz,B.O.A.T.S. II #METIME,2eDX0d5LDpnppAuhqFlGzr,B.O.A.T.S. II #METIME (Deluxe),2 Chainz,17lzZA2AlOHwCwFALHttmp,1,album,2013-01-01,17,31
2 Chainz,B.O.A.T.S. II #METIME,4SJ7YKSrUTEVLXdxvE5Sat,B.O.A.T.S. II #METIME (Deluxe),2 Chainz,17lzZA2AlOHwCwFALHttmp,1,album,2013-01-01,17,23
2 Chainz,B.O.A.T.S. II #METIME,5O5IeRYhauJ5zg08XG2H5Z,B.O.A.T.S. II #METIME (Deluxe),2 Chainz,17lzZA2AlOHwCwFALHttmp,1,album,2013-01-01,17,2
2 Chainz,Based On A T.R.U. Story,1wBFRaacNYmqfkidUZ0NtM,Based On A T.R.U. Story (Deluxe),2 Chainz,17lzZA2AlOHwCwFALHttmp,1,album,2012-01-01,17,62
2 Chainz,Based On A T.R.U. Story,66PA49HFV9YsfQjUYv3xML,Based On A T.R.U. Story (Deluxe),2 Chainz,17lzZA2AlOHwCwFALHttmp,1,album,2012-01-01,17,52
2 Chainz,Based On A T.R.U. Story,5q5Q61G6s9JC4504HYwlbw,Based On A T.R.U. Story (Deluxe),2 Chainz,17lzZA2AlOHwCwFALHttmp,1,album,2012-01-01,17,34
2 Chainz,Based On A T.R.U. Story,6ETuqmZ5VU13n8RFn7nC2V,Based On A T.R.U. Story (Chopped Not Slopped),2 Chainz,17lzZA2AlOHwCwFALHttmp,1,album,2012-08-14,17,25
2 Chainz,Based On A T.R.U. Story,1Gp8Re63iSbXgDqHIQ1x1f,Based On A T.R.U. Story (Deluxe),2 Chainz,17lzZA2AlOHwCwFALHttmp,1,album,2012-01-01,17,15
2 Chainz,ColleGrove,56TQNcSoy3eQpyWtNwQnrD,COLLEGROVE,2 Chainz,17lzZA2AlOHwCwFALHttmp,1,album,2016-03-03,12,52
2 Chainz,ColleGrove,08D4od2LUHWb9PwMEqRBdw,COLLEGROVE,2 Chainz,17lzZA2AlOHwCwFALHttmp,1,album,2016-03-03,12,24
2 Chainz,Pretty Girls Like Trap Music,5vvvo79z68vWj9yimoygfS,Pretty Girls Like Trap Music,2 Chainz,17lzZA2AlOHwCwFALHttmp,1,album,2017-06-16,16,72
2 Chainz,Pretty Girls Like Trap Music,5afLbcIqtQH2e8yZ2Jmr73,Pretty Girls Like Trap Music,2 Chainz,17lzZA2AlOHwCwFALHttmp,1,album,2017-06-15,16,39
21 Savage,I Am > I Was,007DWn799UWvfY1wwZeENR,i am > i was,21 Savage,1URnnhqYAYcrqrcwql10ft,1,album,2018-12-21,15,78
21 Savage,I Am > I Was,6guJZpZ52v4MrJKIH7tASl,i am > i was (Deluxe),21 Savage,1URnnhqYAYcrqrcwql10ft,1,album,2018-12-24,16,65
21 Savage,Issa Album,4QUNWTw2FsIz722xjUjFJw,Issa Album,21 Savage,1URnnhqYAYcrqrcwql10ft,1,album,2017-09-23,14,74
21 Savage,Issa Album,1GeQZeg77rUX8s0pEiz8jS,Issa Album,21 Savage,1URnnhqYAYcrqrcwql10ft,1,album,2017-09-21,14,40
"21 Savage, Offset & Metro Boomin",Without Warning,0MV1yCXcNNQBfwApqAVkH0,Without Warning,21 Savage|Offset|Metro Boomin,1URnnhqYAYcrqrcwql10ft|4DdkRBBYG6Yk9Ka8tdJ9BW|0iEtIxbK0KxaSlF7G42ZOp,3,album,2017-10-30,10,79
2Pac,Better Dayz,5tue3HeaFm6XHyYXhI1kww,Better Dayz,2Pac,1ZwdS5xdxEREPySFridCfh,1,album,2002-01-01,26,65
2Pac,Better Dayz,5ETFHoSGSNULEq0pQUr1YL,Better Dayz,2Pac,1ZwdS5xdxEREPySFridCfh,1,album,2002-01-01,26,21
2Pac,Greatest Hits,1WBZyULtlANBKed7Zf9cDP,Greatest Hits,2Pac,1ZwdS5xdxEREPySFridCfh,1,album,1998-01-01,25,79
2Pac,Greatest Hits,3PO9OtQdvCDJN8zDLtZiYd,Greatest Hits,2Pac,1ZwdS5xdxEREPySFridCfh,1,album,1998-01-01,25,56
2Pac,Loyal To The Game,33lk2GnP8cJzl7cd1OJrXn,Loyal To The Game,2Pac,1ZwdS5xdxEREPySFridCfh,1,album,2004-01-01,17,66
2Pac,Loyal To The Game,4Rai1ZleQohdVK3oXc35SX,Loyal To The Game,2Pac,1ZwdS5xdxEREPySFridCfh,1,album,2004-01-01,17,20
2Pac,Pac's Life,5eVcXpQNaB4ILrocqaUdmT,Pac's Life,2Pac,1ZwdS5xdxEREPySFridCfh,1,album,2006-01-01,13,56
2Pac,Pac's Life,3pj92XPTee8vSS4BSQm9fB,Pac's Life,2Pac,1ZwdS5xdxEREPySFridCfh,1,album,2006-01-01,13,33
3 Doors Down,3 Doors Down,0e2vlZj9wAALaxr5Bhxvw8,3 Doors Down,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,1,album,2008-01-01,12,60
3 Doors Down,Away From The Sun,72olNArm75vOycSziqIX9Y,Away From The Sun,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,1,album,2002-11-12,12,72
3 Doors Down,Seventeen Days,067UgzF9Nbn25xHpY2DJdG,Seventeen Days,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,1,album,2005-01-01,12,50
3OH!3,Want,6MSOHtUiG49Grd7BdZrRUm,WANT,3OH!3,0FWzNDaEu9jdgcYTbcOa4F,1,album,2008-07-07,12,67
3OH!3,Want,10xgy5KkSpP3prnygQmFoN,WANT (Deluxe),3OH!3,0FWzNDaEu9jdgcYTbcOa4F,1,album,2009-01-16,15,63
3OH!3,Want,1ddoQBAZBcK6YLi675xtzu,Who Want It,3ohBlack,1mnnmVJeUTNfWdDx0gVIQT,1,album,2020-11-13,15,48
3OH!3,Want,0SC1BoTdPn6HScKKDiOpsn,WANT,3OH!3,0FWzNDaEu9jdgcYTbcOa4F,1,album,2008-01-12,12,36
3OH!3,Want,0fHE6r3Fs5R5LguI2RfQ3l,WANT (Deluxe),3OH!3,0FWzNDaEu9jdgcYTbcOa4F,1,album,2009-01-16,15,33
3OH!3,Want,6PVuVu42dFIIy5sTlubQAp,Who Want It,3ohBlack,1mnnmVJeUTNfWdDx0gVIQT,1,album,2020-09-18,1,9
5 Seconds Of Summer,5 Seconds Of Summer,2LkWHNNHgD6BRNeZI2SL1L,5 Seconds Of Summer,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,1,album,2014-06-27,16,72
5 Seconds Of Summer,5 Seconds Of Summer,5wyvhfOpVW7QdOSpToTB7I,5 Seconds Of Summer (B-Sides And Rarities),5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,1,album,2014-06-27,10,59
5 Seconds Of Summer,LIVESOS,3KwiuDhdb8W9IJ3kvvORKU,LIVESOS,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,1,album,2014-01-01,15,46
5 Seconds Of Summer,LIVESOS,2HO2oCe6AM8rGKbiCBEEAZ,LIVESOS,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,1,album,2014-01-01,15,48
5 Seconds Of Summer,LIVESOS,3PoGyIXRJhUx4aL02SHDbp,LIVESOS (B-Sides And Rarities),5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,1,album,2014,3,30
5 Seconds Of Summer,Sounds Good Feels Good,43v9cUsP5K0hvu9iyuAzmZ,Sounds Good Feels Good (Deluxe),5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,1,album,2015-10-23,17,70
5 Seconds Of Summer,Sounds Good Feels Good,5REfpyhzMS1rLT67e6zoF4,Sounds Good Feels Good (B-Sides And Rarities),5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,1,album,2016-12-03,5,48
5 Seconds Of Summer,Youngblood,2D0Hi3Jj6RFnpWDcSa0Otu,Youngblood (Deluxe),5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,1,album,2018-06-15,16,81
5 Seconds Of Summer,Youngblood,16Qs4jnIyXe7jprnMNRddy,Youngblood,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,1,album,2018-04-12,1,67
5 Seconds Of Summer,Youngblood,2RMSI4zHlR5bSVuFnOr9MH,Youngblood (R3HAB Remix),5 Seconds of Summer|R3HAB,5Rl15oVamLq7FbSb0NNBNy|6cEuCEZu7PAE9ZSzLLc2oQ,2,album,2018-06-29,1,47
5 Seconds Of Summer,Youngblood,4rFgtc0nwqxIJibvDW6eJr,Youngblood (Acoustic),5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,1,album,2018-06-01,1,52
50 Cent,Animal Ambition: An Untamed Desire To Win,0KmKhrRc4dFTA5dHMJlm5w,Animal Ambition: An Untamed Desire To Win,50 Cent,3q7HBObVc0L8jNeTe5Gofh,1,album,2014-06-03,11,51
50 Cent,Animal Ambition: An Untamed Desire To Win,31vcTR5fxr37223sR5MY7q,Animal Ambition: An Untamed Desire To Win,50 Cent,3q7HBObVc0L8jNeTe5Gofh,1,album,2014-06-03,11,25
50 Cent,Before I Self-Destruct,4kaCrosmqvvrPUEAwcnC3s,Before I Self-Destruct,50 Cent,3q7HBObVc0L8jNeTe5Gofh,1,album,2009-01-01,18,56
50 Cent,Before I Self-Destruct,22uYypUlixVeKwZ7YY2yhp,Before I Self-Destruct,50 Cent,3q7HBObVc0L8jNeTe5Gofh,1,album,2009-01-01,16,24
50 Cent,Curtis,5VfBwkAoSsQwtZjPU0Gr7h,Curtis,50 Cent,3q7HBObVc0L8jNeTe5Gofh,1,album,2007-01-01,18,57
50 Cent,Curtis,4PNQbmRNOoWXRnZgwwpT2y,Curtis,50 Cent,3q7HBObVc0L8jNeTe5Gofh,1,album,2007-01-01,18,32
50 Cent,Get Rich Or Die Tryin',4ycNE7y1rp5215g1kkqk1P,Get Rich Or Die Tryin',50 Cent,3q7HBObVc0L8jNeTe5Gofh,1,album,2003-02-06,19,75
50 Cent,Get Rich Or Die Tryin',0OfzVAXf5aVP4W4NIOLTKj,Get Rich Or Die Tryin',50 Cent,3q7HBObVc0L8jNeTe5Gofh,1,album,2003-02-06,21,61
50 Cent,Get Rich Or Die Tryin',75Zkl39tT79VRpfLzuttxS,Get Rich Or Die Tryin,50 Cent,3q7HBObVc0L8jNeTe5Gofh,1,album,2003-02-06,18,46
50 Cent,Get Rich Or Die Tryin',3LtIWfN1EITld1LloQwl2O,Get Rich Or Die Tryin,50 Cent,3q7HBObVc0L8jNeTe5Gofh,1,album,2007-01-01,20,21
50 Cent,The Massacre,2pidzXTaHV4WaIJYRxKDCH,The Massacre,50 Cent,3q7HBObVc0L8jNeTe5Gofh,1,album,2005-03-03,22,79
50 Cent,The Massacre,2eVeRZTU84r5D7m3uIczxe,The Massacre,50 Cent,3q7HBObVc0L8jNeTe5Gofh,1,album,2005-03-03,22,42
50 Cent,The Massacre,5cSFLq5Gsot96Mr6EVKLma,G-Unit Radio 10: 2050 Before The Massacre,"50 Cent, DJ Whoo Kid",1nOmDT1QjP6KazkR1taKFq,1,album,2007-01-23,16,35
6LACK,East Atlanta Love Letter,3fc97ZWLIMc1xawhxbKrh2,East Atlanta Love Letter,6LACK,4IVAbR2w4JJNJDDRFP3E83,1,album,2018-09-14,14,75
6LACK,East Atlanta Love Letter,6yGW4cSuMkLnTwNKFUlcE8,East Atlanta Love Letter,6LACK,4IVAbR2w4JJNJDDRFP3E83,1,album,2018-09-14,14,36
6LACK,FREE 6LACK,7iwGw8ob3YLqZrbKzGFnHi,FREE 6LACK,6LACK,4IVAbR2w4JJNJDDRFP3E83,1,album,2016-11-18,14,74
6LACK,FREE 6LACK,2LhBfBFZVU1IyaAgo5wghT,FREE 6LACK,6LACK,4IVAbR2w4JJNJDDRFP3E83,1,album,2017-11-13,14,34
6ix9ine,DAY69,1ubczeMvCrPHbSEjgfu4a7,Day69: Graduation Day,6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,1,album,2018-04-10,12,71
6ix9ine,DUMMY BOY,4f8pX9Vjs9uU5aKjqDNcDO,DUMMY BOY,6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,1,album,2018-11-27,13,77
8Ball & MJG,Living Legends,3CErIwttlfxoNd2cQhmBwW,Living Legends,8Ball & MJG,7iUhmKPNkkPPS6FCQxqtNq,1,album,2005-10-04,18,47
8Ball & MJG,Living Legends,2JEsTwdGP9hmuTrmJKGciA,Living Legends,8Ball & MJG,7iUhmKPNkkPPS6FCQxqtNq,1,album,2004,18,27
8Ball & MJG,Living Legends,1uRRlkX7qRQsUxsn9HQNjm,Living Legends (Chopped And Screwed),8Ball & MJG,7iUhmKPNkkPPS6FCQxqtNq,1,album,2005-10-04,18,16
A Boogie Wit da Hoodie,Artist,0cZAE6guibfcYmTZD7hiae,Artist 2.0,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,album,2020-02-14,20,76
A Boogie Wit da Hoodie,Artist,2OQEAqShAl6SodrGhmYZ4Z,Artist,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,album,2016-09-16,11,74
A Boogie Wit da Hoodie,Artist,3HHp5I6Q6SEyU5bkvoCtnV,The Bigger Artist,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,album,2017-09-29,15,72
A Boogie Wit da Hoodie,Artist,4v0IxMbMN975IfxFHzgK9d,Artist 2.0 (Deluxe),A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,album,2020-06-19,29,68
A Boogie Wit da Hoodie,Artist,6opJjTuHd4tQ1h2qrus7jH,International Artist,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,album,2018-06-20,8,55
A Boogie Wit da Hoodie,Artist,4SaGr0KQB7xVzLZSQw6SLb,The Bigger Artist,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,album,2017-09-29,15,45
A Boogie Wit da Hoodie,Artist,6d5OWaoJD1Eznfk7IgOdfH,Artist 2.0,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,album,2020-02-13,20,42
A Boogie Wit da Hoodie,Artist,4UD4QCVMcxUXyYIJUTDblR,Artist 2.0 (Deluxe),A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,album,2020-06-18,29,37
A Boogie Wit da Hoodie,Artist,32fyD9m3uS4KWBPb952YPI,International Artist,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,album,2018-06-19,8,28
A Boogie Wit da Hoodie,Artist 2.0,0cZAE6guibfcYmTZD7hiae,Artist 2.0,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,album,2020-02-14,20,76
A Boogie Wit da Hoodie,Artist 2.0,4v0IxMbMN975IfxFHzgK9d,Artist 2.0 (Deluxe),A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,album,2020-06-19,29,68
A Boogie Wit da Hoodie,Artist 2.0,6d5OWaoJD1Eznfk7IgOdfH,Artist 2.0,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,album,2020-02-13,20,42
A Boogie Wit da Hoodie,Artist 2.0,4UD4QCVMcxUXyYIJUTDblR,Artist 2.0 (Deluxe),A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,album,2020-06-18,29,37
A Boogie Wit da Hoodie,Hoodie SZN,3r5hf3Cj3EMh1C2saQ8jyt,Hoodie SZN,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,album,2018-12-21,20,80
A Boogie Wit da Hoodie,Hoodie SZN,0zv56LxhTq56QkzBVeRKUf,Hoodie SZN,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,album,2018-12-21,20,44
A Boogie Wit da Hoodie,The Bigger Artist,3HHp5I6Q6SEyU5bkvoCtnV,The Bigger Artist,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,album,2017-09-29,15,72
A Boogie Wit da Hoodie,The Bigger Artist,4SaGr0KQB7xVzLZSQw6SLb,The Bigger Artist,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,album,2017-09-29,15,45
A Day To Remember,What Separates Me From You,6I2SUr0MolRUiDEcZAbSWm,What Separates Me From You,A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,1,album,2010-11-16,10,66
A Great Big World,Is There Anybody Out There?,1yOcLa4euMk9sV7rRJ89Dl,Is There Anybody Out There?,A Great Big World,5xKp3UyavIBUsGy3DQdXeF,1,album,2014-01-20,13,70
A Perfect Circle,Thirteenth Step,49K6hYDEr5M3GxIBBxlPf9,Thirteenth Step,A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,1,album,2003-01-01,12,65
A Perfect Circle,Thirteenth Step,7cIHlpvmrl3i3ZmXgbL6iR,Thirteenth Step - Live,A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,1,album,2003,12,31
A Tribe Called Quest,The Low End Theory,1p12OAWwudgMqfMzjMvl2a,The Low End Theory,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1,album,1991-09-24,14,67
A Tribe Called Quest,We Got It From Here...Thank You 4 Your Service,3WvQpufOsPzkZvcSuynCf3,We got it from Here... Thank You 4 Your service,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1,album,2016-11-11,16,59
A Tribe Called Quest,We Got It From Here...Thank You 4 Your Service,0Incoil3u4Vj41GTEne0Ag,We got it from Here... Thank You 4 Your service,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1,album,2016-11-11,16,27
A Tribe Called Quest ,We Got It From Here...Thank You 4 Your Service,3WvQpufOsPzkZvcSuynCf3,We got it from Here... Thank You 4 Your service,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1,album,2016-11-11,16,59
A Tribe Called Quest ,We Got It From Here...Thank You 4 Your Service,0Incoil3u4Vj41GTEne0Ag,We got it from Here... Thank You 4 Your service,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1,album,2016-11-11,16,27
A$AP Ferg,Still Striving,0tQ7Iu6EicQTPyhYRNWjaT,Still Striving,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,1,album,2017-08-18,14,71
A$AP Ferg,Still Striving,2KL69PNxJkQl3NWXMMkAby,Still Striving,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,1,album,2017-08-18,14,35
A$AP Rocky,AT.LONG.LAST.A$AP,3arNdjotCvtiiLFfjKngMc,AT.LONG.LAST.A$AP,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,1,album,2015-05-26,18,79
A$AP Rocky,AT.LONG.LAST.A$AP,6MGLjgaBfHSsWl1A06mW4j,AT.LONG.LAST.A$AP,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,1,album,2015-05-26,18,38
A$AP Rocky,Long.Live.A$AP,6rzMufuu8sLkIizM4q9c7J,LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,1,album,2013,17,77
A$AP Rocky,Testing,3MATDdrpHmQCmuOcozZjDa,TESTING,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,1,album,2018-05-25,15,79
A$AP Rocky,Testing,4McL6uB0omKrLAsZtXQwDA,TESTING,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,1,album,2018-05-25,15,43
AC/DC,Back In Black,6mUdeDZCsExyJLMdAfDuwh,Back In Black,AC/DC,711MCceyCBcFnzjGY4Q7Un,1,album,1980-07-25,10,83
AC/DC,Back in Black,6mUdeDZCsExyJLMdAfDuwh,Back In Black,AC/DC,711MCceyCBcFnzjGY4Q7Un,1,album,1980-07-25,10,83
AC/DC,Black Ice,7qVfz4UGONwEd5nQjj0ESN,Black Ice,AC/DC,711MCceyCBcFnzjGY4Q7Un,1,album,2008-10-20,15,66
AC/DC,Highway to Hell,10v912xgTZbjAtYfyKWJCS,Highway to Hell,AC/DC,711MCceyCBcFnzjGY4Q7Un,1,album,1979-07-27,10,78
AC/DC,Rock Or Bust,6OwvO40ahugJE5PH4TjqTg,Rock or Bust,AC/DC,711MCceyCBcFnzjGY4Q7Un,1,album,2014-11-28,11,62
AFI,Decemberunderground,1XcA7EEpVRg3FpVbhWu9JV,DECEMBERUNDERGROUND,AFI,19I4tYiChJoxEO5EuviXpz,1,album,2006-06-06,12,66
AFI,Sing The Sorrow,1eIzVBHA5NvX0wo2nLACew,Sing The Sorrow,AFI,19I4tYiChJoxEO5EuviXpz,1,album,2003,13,60
AJR,OK ORCHESTRA,1y2AzG31F4CuCKQ1rpIzaI,OK ORCHESTRA,AJR,6s22t5Y3prQHyaHWUN1R1C,1,album,2021-03-26,13,74
AWOLNATION,Megalithic Symphony,1fag8cnc5p4Umu4tRMAsLv,Megalithic Symphony,AWOLNATION,4njdEjTnLfcGImKZu1iSrz,1,album,2011-03-15,14,70
AWOLNATION,Megalithic Symphony,5JNXvM5u7H04wj71hDLfux,Megalithic Symphony (10th Anniversary Deluxe Edition),AWOLNATION,4njdEjTnLfcGImKZu1iSrz,1,album,2021-03-15,41,54
AWOLNATION,Megalithic Symphony ,1fag8cnc5p4Umu4tRMAsLv,Megalithic Symphony,AWOLNATION,4njdEjTnLfcGImKZu1iSrz,1,album,2011-03-15,14,70
AWOLNATION,Megalithic Symphony ,5JNXvM5u7H04wj71hDLfux,Megalithic Symphony (10th Anniversary Deluxe Edition),AWOLNATION,4njdEjTnLfcGImKZu1iSrz,1,album,2021-03-15,41,54
Aaliyah,Aaliyah,6MHvZyPPFWw6ZensGacl0v,A Salute To Aaliyah,Aaliyah Tribute,44d6kiYityw5RMbE6lRv6i,1,album,2007-01-16,8,33
Aaron Carter,Oh Aaron,6RBal3R25BlKtJGfd70kyc,Oh Aaron,Aaron Carter,5338fdSzGNOFD4cxAxDTeq,1,album,2001-06-08,11,43
Abigail Washburn,City of Refuge,1K9dL8mtSXBjricc8ubNXI,City of Refuge,Abigail Washburn,40CfCtMnEXvvCKk8J1DniP,1,album,2011,11,19
Ace Of Base,The Sign,5UwIyIyFzkM7wKeGtRJPgB,The Sign,Ace of Base,5ksRONqssB7BR161NTtJAm,1,album,1993-12-24,13,71
Ace Of Base,The Sign,2h82v2JZuZ9VQPUrkkTFN1,The Sign (The Remixes),Ace of Base,5ksRONqssB7BR161NTtJAm,1,album,1993-01-01,5,30
